"","ME6","ME4","ME5","ME7","ME3","ME1","ME2","ME0"
"R42016-146pf_116-IR_L6",-0.0229955924033729,0.00246346130082516,-0.011167040752822,-0.0244425741177031,-0.0150962582246838,-0.0278756084337033,-0.0504886604899819,-0.0520528685839461
"R42016-147pf_117-IR_L6",-0.00387429598871528,0.0145785371905051,0.00579052863017802,-0.0126315375083212,-0.0108492590884696,-0.00660736877624745,-0.0405384721730463,-0.00723634588506708
"R42016-148pf_118-IR_L6",-0.014479700141012,0.00755118156764369,-0.0071795850859737,-0.0260145684431713,-0.0145875472262417,-0.0164401959887676,-0.0634501579139738,-0.0478512268479872
"R42016-149pf_119-IR_L6",-0.016781542634883,0.00797842895863578,-0.00648458683267924,-0.0287037837017048,-0.0139869464259217,-0.0229648386683099,-0.0607246211240286,-0.0306019211290114
"R42015-481pf_12-IR_L1",-0.280381035166783,-0.117690659385059,-0.180011307209007,-0.261624472823058,-0.0262987980483955,-0.45464527154959,-0.287409721640194,-0.29294453527713
"R42016-150pf_120-IR_L6",-0.0170252040021143,0.00910536869594689,-0.0062663399253932,-0.0187693804462904,-0.0151163350971347,-0.0286271619849432,-0.0401137834706092,-0.0338903299931834
"R42016-151pf_121-IR_L6",-0.0145083627723654,0.00744728925269704,-0.00533239104918479,-0.0155256130103823,-0.0123497414885344,-0.0275362755572221,-0.027938119365365,-0.0185925549599255
"R42015-495pf_122-IR_L2",-0.00271206905928322,0.0145749183941162,0.00669019254394367,0.0122472607615607,-0.0126346461394649,-0.0246543267691898,0.022351226373702,-0.0175424476922247
"R42016-152pf_123-IR_L6",-0.00784231097483446,0.0120085217450377,-0.00169764652731244,-0.0165872465883001,-0.0131869234193088,-0.0148874914558904,-0.0403814038307157,-0.0349566333617216
"R42016-153pf_124-IR_L6",-0.0236706396444223,-0.00152635564610835,-0.0156034306576123,-0.014862463747078,-0.0133768519081983,-0.0331905796851065,-0.034406407168597,-0.0358024741941185
"R42016-154pf_125-IR_L6",0.00158519793613907,0.0146986028670629,0.00861869726163159,-0.00164584754320973,-0.0102959493140461,-0.00944068490235914,-0.0143194910767823,0.000126457838741636
"R42016-155pf_126-IR_L6",0.00672233301240162,0.0158896210400322,0.0114465393668193,0.00088876340593679,-0.0119976274666236,0.00933733724191749,-0.0249823561341068,-0.0249987870475847
"R42016-156pf_127-IR_L6",-0.0146151173668648,0.0105299214811602,-0.000339988958284343,-0.0317934958201186,-0.0121595334318415,-0.023623755845772,-0.0631740604609503,-0.00606300989633917
"R42016-157pf_128-IR_L7",0.00754846659296774,0.0200269038991591,0.0112306802711532,-0.00917081533244951,-0.0108351270337012,0.0132765175237215,-0.0411663091705942,-0.0199411065635948
"R42015-496pf_129-IR_L2",0.00362109546331767,0.0152760722997912,0.0110633643191831,0.0224644117150023,-0.00804118385392418,-0.0131183387037561,0.0372277184406466,-0.0138710517661345
"R42016-093pf_13-IR_L1",0.00225767505424931,0.0161772733852822,0.0143045652054931,-0.00962223608983726,-0.00575369761864132,-0.00539928491431134,-0.0289280810320206,0.0284127476849533
"R42016-158pf_130-IR_L7",-0.00807498584629792,0.00944415667965345,0.00152433009533016,-0.0215381674158594,-0.0123111882340288,-0.00435959679344398,-0.0540422319042227,-0.0214233534257422
"R42016-159pf_131-IR_L7",-0.0161234297740344,0.00992159468277931,-0.00590867146336455,-0.022139985400794,-0.0148761642014977,-0.019390170636386,-0.0451791022494661,-0.0420995253140897
